﻿Tree #,Grant Number,Funder,Species,St. Address,Address Info,City,Ownership,X Coordinate,Y Coordinate,Census Tract,DAC Status,Date Planted,Stock Size,Grow Space,geom
2018102002,8GG17418,Match,Tabebuia avellanedae,1056 Walnut Ave,South PBNIS,Long Beach,Public,-118.171917,33.779889,6037576403,1A,2018-10-20,15-Gallon,5' parkway,"33.779889, -118.171917"
2018102004,8GG17418,Match,Tabebuia avellanedae,1202 Walnut Ave,South PBNIS,Long Beach,Public,-118.171917,33.781722,6037576403,1A,2018-10-20,15-Gallon,5' parkway,"33.781722, -118.171917"
2018102008,8GG17418,CAL FIRE,Lophostemon confertus,1042-46 Gaviota Ave,South PBNIS,Long Beach,Public,-118.170861,33.779751,6037576403,1A,2018-10-20,15-Gallon,5' parkway,"33.779751, -118.170861"
2018102009,8GG17418,CAL FIRE,Lophostemon confertus,1064 Gaviota Ave,South PBNIS,Long Beach,Public,-118.170861,33.780139,6037576403,1A,2018-10-20,15-Gallon,5' parkway,"33.780139, -118.170861"
2018102012,8GG17418,CAL FIRE,Lophostemon confertus,1083 Gaviota Ave,South PBNIS,Long Beach,Public,-118.170972,33.780501,6037576403,1A,2018-10-20,15-Gallon,5' parkway,"33.780501, -118.170972"
2018102015,8GG17418,Match,Tabebuia avellanedae,1110 Rose Ave,South PBNIS,Long Beach,Public,-118.169778,33.781083,6037576403,1A,2018-10-20,15-Gallon,5' parkway,"33.781083, -118.169778"
2018102016,8GG17418,Match,Pittosporum undulatum,1117 Rose Ave,South PBNIS,Long Beach,Public,-118.169889,33.781389,6037576403,1A,2018-10-20,15-Gallon,5' parkway,"33.781389, -118.169889"
2018102017,8GG17418,Match,Pittosporum undulatum,1121-41 Rose Ave,South PBNIS,Long Beach,Public,-118.169917,33.781501,6037576403,1A,2018-10-20,15-Gallon,5' parkway,"33.781501, -118.169917"
2018102020,8GG17418,Match,Langerstroemia Indica,1036 Cherry Ave,South PBNIS,Long Beach,Public,-118.167611,33.779639,6037576403,1A,2018-10-20,15-Gallon,5' parkway,"33.779639, -118.167611"
2018102021,8GG17418,Match,Langerstroemia Indica,1048 Cherry Ave,South PBNIS,Long Beach,Public,-118.167639,33.779833,6037576403,1A,2018-10-20,15-Gallon,5' parkway,"33.779833, -118.167639"
2018102024,8GG17418,Match,Langerstroemia Indica,1059 Cherry Ave,South PBNIS,Long Beach,Public,-118.167722,33.780111,6037576403,1A,2018-10-20,15-Gallon,5' parkway,"33.780111, -118.167722"
2018102025,8GG17418,Match,Langerstroemia Indica,1060 Cherry Ave,South PBNIS,Long Beach,Public,-118.167583,33.780056,6037576403,1A,2018-10-20,15-Gallon,5' parkway,"33.780056, -118.167583"
2018102033,8GG17418,Match,Langerstroemia Indica,1170 Cherry Ave,South PBNIS,Long Beach,Public,-118.167611,33.781722,6037576403,1A,2018-10-20,15-Gallon,5' parkway,"33.781722, -118.167611"
2018102034,8GG17418,Match,Tabebuia avellanedae,1210 11th St.,South PBNIS,Long Beach,Public,-118.175778,33.780722,6037576403,1A,2018-10-20,15-Gallon,5' parkway,"33.780722, -118.175778"
2018102038,8GG17418,Match,Tabebuia avellanedae,1521 11th St.,South PBNIS,Long Beach,Public,-118.172528,33.780861,6037576403,1A,2018-10-20,15-Gallon,5' parkway,"33.780861, -118.172528"
2018102039,8GG17418,Match,Tabebuia avellanedae,1626 11th St.,South PBNIS,Long Beach,Public,-118.171333,33.780778,6037576403,1A,2018-10-20,15-Gallon,5' parkway,"33.780778, -118.171333"
2018102040,8GG17418,Match,Tabebuia avellanedae,1634 11th St.,South PBNIS,Long Beach,Public,-118.171251,33.780751,6037576403,1A,2018-10-20,15-Gallon,5' parkway,"33.780751, -118.171251"
2018102043,8GG17418,Match,Tabebuia avellanedae,1704 11th St.,South PBNIS,Long Beach,Public,-118.170694,33.780722,6037576403,1A,2018-10-20,15-Gallon,5' parkway,"33.780722, -118.170694"
2018102044,8GG17418,Match,Tabebuia avellanedae,1711 11th St.,South PBNIS,Long Beach,Public,-118.170417,33.780861,6037576403,1A,2018-10-20,15-Gallon,5' parkway,"33.780861, -118.170417"
2018102047,8GG17418,Match,Tabebuia avellanedae,1813 11th St.,South PBNIS,Long Beach,Public,-118.169444,33.780833,6037576403,1A,2018-10-20,15-Gallon,5' parkway,"33.780833, -118.169444"
2018102054,8GG17418,Match,Tabebuia avellanedae,1071 Orange Ave,South PBNIS,Long Beach,Public,-118.176417,33.780251,6037576403,1A,2018-10-20,15-Gallon,5' parkway,"33.780251, -118.176417"
2018102058,8GG17418,Match,Podocarpus macrophyllus,1137-47 Mahanna Ave,South PBNIS,Long Beach,Public,-118.174972,33.781583,6037576403,1A,2018-10-20,15-Gallon,5' parkway,"33.781583, -118.174972"
2018102064,8GG17418,Match,Podocarpus macrophyllus,1360 Anaheim St.,South PBNIS,Long Beach,Public,-118.174861,33.782389,6037576403,1A,2018-10-20,15-Gallon,5' parkway,"33.782389, -118.174861"
2018102065,8GG17418,Match,Podocarpus macrophyllus,1360 Anaheim St.,South PBNIS,Long Beach,Public,-118.174833,33.782444,6037576403,1A,2018-10-20,15-Gallon,5' parkway,"33.782444, -118.174833"
2018102066,8GG17418,Match,Langerstroemia Indica,1012 Hoffman Ave,South PBNIS,Long Beach,Public,-118.173556,33.779361,6037576403,1A,2018-10-20,15-Gallon,5' parkway,"33.779361, -118.173556"
2018102068,8GG17418,Match,Langerstroemia Indica,1021-27 Hoffman Ave,South PBNIS,Long Beach,Public,-118.173694,33.779528,6037576403,1A,2018-10-20,15-Gallon,5' parkway,"33.779528, -118.173694"
2018102069,8GG17418,Match,Langerstroemia Indica,1021-27 Hoffman Ave,South PBNIS,Long Beach,Public,-118.173694,33.779556,6037576403,1A,2018-10-20,15-Gallon,5' parkway,"33.779556, -118.173694"
2018102071,8GG17418,Match,Langerstroemia Indica,1051 Hoffman Ave,South PBNIS,Long Beach,Public,-118.173694,33.779944,6037576403,1A,2018-10-20,15-Gallon,5' parkway,"33.779944, -118.173694"
2018102072,8GG17418,Match,Langerstroemia Indica,1061 Hoffman Ave,South PBNIS,Long Beach,Public,-118.173694,33.780083,6037576403,1A,2018-10-20,15-Gallon,5' parkway,"33.780083, -118.173694"
2018102079,8GG17418,Match,Langerstroemia Indica,1127 Hoffman Ave,South PBNIS,Long Beach,Public,-118.173694,33.781389,6037576403,1A,2018-10-20,15-Gallon,5' parkway,"33.781389, -118.173694"
2018102082,8GG17418,Match,Langerstroemia Indica,1212 Hoffman Ave,South PBNIS,Long Beach,Public,-118.173583,33.781472,6037576403,1A,2018-10-20,15-Gallon,5' parkway,"33.781472, -118.173583"
2018111708,8GG17418,CAL FIRE,Geijera parviflora,1860 Burnett St.,WestLB - Hudson School,Long Beach,Public,-118.050222,33.800694,6037572700,1A,2018-11-17,15-Gallon,5' parkway,"33.800694, -118.050222"
2018111712,8GG17418,Match,Ulmus parvifolia,1785 Burnett St.,WestLB - Hudson School,Long Beach,Public,-118.216306,33.800806,6037572700,1A,2018-11-17,15-Gallon,5' parkway,"33.800806, -118.216306"
2018111713,8GG17418,Match,Ulmus parvifolia,1880 Burnett St.,WestLB - Hudson School,Long Beach,Public,-118.217222,33.800806,6037572700,1A,2018-11-17,15-Gallon,5' parkway,"33.800806, -118.217222"
2018111715,8GG17418,Match,Ulmus parvifolia,1900 W Hill St.,WestLB - Hudson School,Long Beach,Public,-118.217528,33.800833,6037572700,1A,2018-11-17,15-Gallon,5' parkway,"33.800833, -118.217528"
2018111718,8GG17418,Match,Ulmus parvifolia,2153 W Hill St.,WestLB - Hudson School,Long Beach,Public,-118.217694,33.797028,6037572700,1A,2018-11-17,15-Gallon,5' parkway,"33.797028, -118.217694"
2018111720,8GG17418,Match,Ulmus parvifolia,2153 W Hill St.,WestLB - Hudson School,Long Beach,Public,-118.217694,33.797639,6037572700,1A,2018-11-17,15-Gallon,5' parkway,"33.797639, -118.217694"
2018111721,8GG17418,Match,Ulmus parvifolia,2153 W Hill St.,WestLB - Hudson School,Long Beach,Public,-118.217694,33.797667,6037572700,1A,2018-11-17,15-Gallon,5' parkway,"33.797667, -118.217694"
2018111725,8GG17418,Match,Ulmus parvifolia,2236 Seabright Ave,WestLB - Hudson School,Long Beach,Public,-118.217556,33.797833,6037572700,1A,2018-11-17,15-Gallon,5' parkway,"33.797833, -118.217556"
2018111728,8GG17418,Match,Ulmus parvifolia,2274 Seabright Ave,WestLB - Hudson School,Long Beach,Public,-118.217556,33.797972,6037572700,1A,2018-11-17,15-Gallon,5' parkway,"33.797972, -118.217556"
2018111729,8GG17418,Match,Ulmus parvifolia,2282 Seabright Ave,WestLB - Hudson School,Long Beach,Public,-118.217556,33.798528,6037572700,1A,2018-11-17,15-Gallon,5' parkway,"33.798528, -118.217556"
2018111731,8GG17418,Match,Ulmus parvifolia,2300 Seabright Ave,WestLB - Hudson School,Long Beach,Public,-118.217556,33.798667,6037572700,1A,2018-11-17,15-Gallon,5' parkway,"33.798667, -118.217556"
2018111738,8GG17418,Match,Ulmus parvifolia,2532 Seabright Ave,WestLB - Hudson School,Long Beach,Public,-118.217694,33.803139,6037572700,1A,2018-11-17,15-Gallon,5' parkway,"33.803139, -118.217694"
2018111739,8GG17418,Match,Ulmus parvifolia,2533 Seabright Ave,WestLB - Hudson School,Long Beach,Public,-118.217556,33.803278,6037572700,1A,2018-11-17,15-Gallon,5' parkway,"33.803278, -118.217556"
2018111741,8GG17418,Match,Ulmus parvifolia,2553 Seabright Ave,WestLB - Hudson School,Long Beach,Public,-118.217694,33.803511,6037572700,1A,2018-11-17,15-Gallon,5' parkway,"33.803511, -118.217694"
2018111742,8GG17418,Match,Ulmus parvifolia,2558 Seabright Ave,WestLB - Hudson School,Long Beach,Public,-118.217556,33.803583,6037572700,1A,2018-11-17,15-Gallon,5' parkway,"33.803583, -118.217556"
2018111744,8GG17418,Match,Ulmus parvifolia,2572 Seabright Ave,WestLB - Hudson School,Long Beach,Public,-118.217556,33.803556,6037572700,1A,2018-11-17,15-Gallon,5' parkway,"33.803556, -118.217556"
2018111746,8GG17418,Match,Langerstroemia Indica,2385 Hayes Ave,WestLB - Hudson School,Long Beach,Public,-118.218833,33.803917,6037572700,1A,2018-11-17,15-Gallon,5' parkway,"33.803917, -118.218833"
2018111748,8GG17418,Match,Langerstroemia Indica,2408 Hayes Ave,WestLB - Hudson School,Long Beach,Public,-118.218611,33.801056,6037572700,1A,2018-11-17,15-Gallon,5' parkway,"33.801056, -118.218611"
2018111750,8GG17418,Match,Langerstroemia Indica,2435 Hayes Ave,WestLB - Hudson School,Long Beach,Public,-118.218751,33.801444,6037572700,1A,2018-11-17,15-Gallon,5' parkway,"33.801444, -118.218751"
2018111751,8GG17418,Match,Langerstroemia Indica,2435 Hayes Ave,WestLB - Hudson School,Long Beach,Public,-118.218778,33.801511,6037572700,1A,2018-11-17,15-Gallon,5' parkway,"33.801511, -118.218778"
2018111758,8GG17418,Match,Langerstroemia Indica,2034 25th St.,WestLB - Hudson School,Long Beach,Public,-118.219583,33.802511,6037572700,1A,2018-11-17,15-Gallon,5' parkway,"33.802511, -118.219583"
2018111759,8GG17418,Match,Tabebuia avellanedae,2226 Webster Ave,WestLB - Hudson School,Long Beach,Public,-118.219639,33.802501,6037572700,1A,2018-11-17,15-Gallon,5' parkway,"33.802501, -118.219639"
2018111760,8GG17418,Match,Tabebuia avellanedae,2272 Webster Ave,WestLB - Hudson School,Long Beach,Public,-118.219722,33.797667,6037572700,1A,2018-11-17,15-Gallon,5' parkway,"33.797667, -118.219722"
2018111762,8GG17418,Match,Tabebuia avellanedae,2336 Webster Ave,WestLB - Hudson School,Long Beach,Public,-118.219722,33.799139,6037572700,1A,2018-11-17,15-Gallon,5' parkway,"33.799139, -118.219722"
2018111765,8GG17418,Match,Tabebuia avellanedae,2454 Webster Ave,WestLB - Hudson School,Long Beach,Public,-118.219694,33.801444,6037572700,1A,2018-11-17,15-Gallon,5' parkway,"33.801444, -118.219694"
2018111766,8GG17418,Match,Tabebuia avellanedae,2460 Webster Ave,WestLB - Hudson School,Long Beach,Public,-118.219722,33.801806,6037572700,1A,2018-11-17,15-Gallon,5' parkway,"33.801806, -118.219722"
2018111769,8GG17418,Match,Tabebuia avellanedae,2484 Webster Ave,WestLB - Hudson School,Long Beach,Public,-118.219722,33.802211,6037572700,1A,2018-11-17,15-Gallon,5' parkway,"33.802211, -118.219722"
2018111771,8GG17418,Match,Tabebuia avellanedae,2526 Webster Ave,WestLB - Hudson School,Long Beach,Public,-118.219694,33.802751,6037572700,1A,2018-11-17,15-Gallon,5' parkway,"33.802751, -118.219694"
2018111776,8GG17418,Match,Ulmus parvifolia,2100 Willow Ave,WestLB - Hudson School,Long Beach,Public,-118.219889,33.804056,6037572800,1A,2018-11-17,15-Gallon,5' parkway,"33.804056, -118.219889"
2018111779,8GG17418,Match,Ulmus parvifolia,2100 Willow Ave,WestLB - Hudson School,Long Beach,Public,-118.219889,33.803889,6037572800,1A,2018-11-17,15-Gallon,5' parkway,"33.803889, -118.219889"
2018111780,8GG17418,Match,Ulmus parvifolia,2100 Willow Ave,WestLB - Hudson School,Long Beach,Public,-118.219889,33.803806,6037572800,1A,2018-11-17,15-Gallon,5' parkway,"33.803806, -118.219889"
2018111785,8GG17418,Match,Ulmus parvifolia,2100 Willow Ave,WestLB - Hudson School,Long Beach,Public,-118.219861,33.803222,6037572800,1A,2018-11-17,15-Gallon,5' parkway,"33.803222, -118.219861"
2018111786,8GG17418,Match,Ulmus parvifolia,2220 Cota Ave,WestLB - Hudson School,Long Beach,Public,-118.219861,33.803139,6037572700,1A,2018-11-17,15-Gallon,5' parkway,"33.803139, -118.219861"
2018111787,8GG17418,Match,Ulmus parvifolia,2239 Cota Ave,WestLB - Hudson School,Long Beach,Public,-118.216472,33.797528,6037572700,1A,2018-11-17,15-Gallon,5' parkway,"33.797528, -118.216472"
2018111788,8GG17418,Match,Ulmus parvifolia,2250 Cota Ave,WestLB - Hudson School,Long Beach,Public,-118.216583,33.797944,6037572700,1A,2018-11-17,15-Gallon,5' parkway,"33.797944, -118.216583"
2018111789,8GG17418,Match,Ulmus parvifolia,2255 Cota Ave,WestLB - Hudson School,Long Beach,Public,-118.216444,33.789139,6037572700,1A,2018-11-17,15-Gallon,5' parkway,"33.789139, -118.216444"
2018111790,8GG17418,Match,Ulmus parvifolia,2271 Cota Ave,WestLB - Hudson School,Long Beach,Public,-118.216583,33.798222,6037572700,1A,2018-11-17,15-Gallon,5' parkway,"33.798222, -118.216583"
2018111791,8GG17418,Match,Ulmus parvifolia,2319 Cota Ave,WestLB - Hudson School,Long Beach,Public,-118.216583,33.798556,6037572700,1A,2018-11-17,15-Gallon,5' parkway,"33.798556, -118.216583"
2018111798,8GG17418,Match,Ulmus parvifolia,2546 Cota Ave,WestLB - Hudson School,Long Beach,Public,-118.216444,33.803472,6037572700,1A,2018-11-17,15-Gallon,5' parkway,"33.803472, -118.216444"
2018111799,8GG17418,Match,Ulmus parvifolia,2509 Seabright Ave,WestLB - Hudson School,Long Beach,Public,-118.085121,33.808221,6037572700,1A,2018-11-17,15-Gallon,5' parkway,"33.808221, -118.085121"
2018111303,8GG17418,Match,Ulmus parvifolia,709 Elm Ave,East Village,Long Beach,Public,-118.187751,33.775722,6037576301,1A,2018-11-13,15-Gallon,5' parkway,"33.775722, -118.187751"
2018111307,8GG17418,Match,Langerstroemia Indica,344 Linden Ave,East Village,Long Beach,Public,-118.186778,33.771472,6037576200,1A,2018-11-13,15-Gallon,5' parkway,"33.771472, -118.186778"
2018111312,8GG17418,Match,Langerstroemia Indica,759 Linden Ave,East Village,Long Beach,Public,-118.186472,33.776167,6037576200,1A,2018-11-13,15-Gallon,5' parkway,"33.776167, -118.186472"
2018121505,8GG17418,Match,Tabebuia avellanedae,5042 Gardenia Ave,Ridgewood Cove,Long Beach,Public,-118.168444,33.848194,6037571503,2A,2018-12-15,15-Gallon,5' parkway,"33.848194, -118.168444"
2018121508,8GG17418,Match,Tabebuia avellanedae,5065 Gardenia Ave,Ridgewood Cove,Long Beach,Public,-118.168361,33.848917,6037571503,2A,2018-12-15,15-Gallon,5' parkway,"33.848917, -118.168361"
2018121509,8GG17418,Match,Tabebuia avellanedae,5071 Gardenia Ave,Ridgewood Cove,Long Beach,Public,-118.168361,33.849056,6037571503,2A,2018-12-15,15-Gallon,5' parkway,"33.849056, -118.168361"
2018121512,8GG17418,Match,Tabebuia avellanedae,5102 Gardenia Ave,Ridgewood Cove,Long Beach,Public,-118.168251,33.849111,6037571503,2A,2018-12-15,15-Gallon,5' parkway,"33.849111, -118.168251"
2018121513,8GG17418,Match,Tabebuia avellanedae,5108 Gardenia Ave,Ridgewood Cove,Long Beach,Public,-118.168251,33.849222,6037571503,2A,2018-12-15,15-Gallon,5' parkway,"33.849222, -118.168251"
2018121515,8GG17418,Match,Tabebuia avellanedae,5126 Gardenia Ave,Ridgewood Cove,Long Beach,Public,-118.168417,33.849667,6037571503,2A,2018-12-15,15-Gallon,5' parkway,"33.849667, -118.168417"
2018121519,8GG17418,Match,Langerstroemia Indica,1709 Hardwick St.,Ridgewood Cove,Long Beach,Public,-118.172083,33.850278,6037570602,2A,2018-12-15,15-Gallon,5' parkway,"33.850278, -118.172083"
2018121520,8GG17418,Match,Langerstroemia Indica,1715 Hardwick St.,Ridgewood Cove,Long Beach,Public,-118.171917,33.850306,6037570602,2A,2018-12-15,15-Gallon,5' parkway,"33.850306, -118.171917"
2018121524,8GG17418,Match,Langerstroemia Indica,1904 Hardwick St.,Ridgewood Cove,Long Beach,Public,-118.170222,33.850444,6037570602,2A,2018-12-15,15-Gallon,5' parkway,"33.850444, -118.170222"
2018121529,8GG17418,Match,Langerstroemia Indica,1934 Hardwick St.,Ridgewood Cove,Long Beach,Public,-118.169417,33.850278,6037570602,2A,2018-12-15,15-Gallon,5' parkway,"33.850278, -118.169417"
2018121530,8GG17418,Match,Langerstroemia Indica,1945 Hardwick St.,Ridgewood Cove,Long Beach,Public,-118.169194,33.850306,6037570602,2A,2018-12-15,15-Gallon,5' parkway,"33.850306, -118.169194"
2018121531,8GG17418,Match,Langerstroemia Indica,1940 Hardwick St.,Ridgewood Cove,Long Beach,Public,-118.169194,33.850194,6037570602,2A,2018-12-15,15-Gallon,5' parkway,"33.850194, -118.169194"
2018121532,8GG17418,Match,Langerstroemia Indica,1951 Hardwick St.,Ridgewood Cove,Long Beach,Public,-118.169028,33.850222,6037570602,2A,2018-12-15,15-Gallon,5' parkway,"33.850222, -118.169028"
2018121534,8GG17418,Match,Langerstroemia Indica,1946 Hardwick St.,Ridgewood Cove,Long Beach,Public,-118.169056,33.850111,6037570602,2A,2018-12-15,15-Gallon,5' parkway,"33.850111, -118.169056"
2018121544,8GG17418,Match,Hymenosporum flavum,1915 Silva St.,Ridgewood Cove,Long Beach,Public,-118.169611,33.847611,6037570602,2A,2018-12-15,15-Gallon,3' parkway,"33.847611, -118.169611"
2018121545,8GG17418,Match,Hymenosporum flavum,1922 Silva St.,Ridgewood Cove,Long Beach,Public,-118.169528,33.847501,6037570602,2A,2018-12-15,15-Gallon,3' parkway,"33.847501, -118.169528"
2018121546,8GG17418,Match,Hymenosporum flavum,1927 Silva St.,Ridgewood Cove,Long Beach,Public,-118.169194,33.847639,6037570602,2A,2018-12-15,15-Gallon,3' parkway,"33.847639, -118.169194"
2018121548,8GG17418,Match,Hymenosporum flavum,1928 Silva St.,Ridgewood Cove,Long Beach,Public,-118.169306,33.847361,6037570602,2A,2018-12-15,15-Gallon,3' parkway,"33.847361, -118.169306"
